"","Title","Author","Subject","Abstract","date"
"32","verification of a rust implementation of knuth's dancing links using acl2","david s. hardin","logic in computer science","dancing links connotes an optimization to a circular doubly-linked list data structure implementation which provides for fast list element removal and restoration.  the dancing links optimization is used primarily in fast algorithms to find exact covers, and has been popularized by knuth  in volume 4b of his seminal series the art of computer programming. we describe an implementation of the dancing links optimization in the rust programming language, as well as its formal verification using the acl2 theorem prover.  rust has garnered significant endorsement in the past few years as a modern, memory-safe successor to c/c++ at companies such as amazon, google, and microsoft, and is being integrated into both the linux and windows operating system kernels. our interest in rust stems from its potential as a hardware/software co-assurance language, with application to critical systems.  we have crafted a rust subset, inspired by russinoff's restricted algorithmic c (rac), which we have imaginatively named restricted algorithmic rust, or rar.  in previous work, we described our initial implementation of a rar toolchain, wherein we simply transpile the rar source into rac.  by so doing,  we leverage a number of existing hardware/software co-assurance tools with a minimum investment of time and effort.  in this paper, we describe the rar rust subset, describe our improved prototype rar toolchain, and detail the design and verification of a circular doubly-linked list data structure employing the dancing links optimization in rar, with full proofs of functional correctness accomplished using the acl2 theorem prover.",2023-11-15
"33","anticipating user needs: insights from design fiction on conversational agents for computational thinking","jacob penney, joão felipe pimentel, igor steinmacher, marco a. gerosa","human-computer interaction","computational thinking, and by extension, computer programming, is notoriously challenging to learn. conversational agents and generative artificial intelligence (genai) have the potential to facilitate this learning process by offering personalized guidance, interactive learning experiences, and code generation. however, current genai-based chatbots focus on professional developers and may not adequately consider educational needs. involving educators in conceiving educational tools is critical for ensuring usefulness and usability. we enlisted \numparticipants{} instructors to engage in design fiction sessions in which we elicited abilities such a conversational agent supported by genai should display. participants envisioned a conversational agent that guides students stepwise through exercises, tuning its method of guidance with an awareness of the educational background, skills and deficits, and learning preferences. the insights obtained in this paper can guide future implementations of tutoring conversational agents oriented toward teaching computational thinking and computer programming.",2023-11-12
"34","ernie: a reactor antineutrino inverse beta decay event generator","murat altınlı, halil gamsızkan","high energy physics - phenomenology","we present ernie, a computer program which generates nuclear reactor electron antineutrinos and inverse beta decay events induced by these particles, using the monte-carlo method. the program allows the usage of different antineutrino energy spectra models and can simulate the time evolution of the overall antineutrino spectrum because of the burn-up effect. the output of the program can readily be used in detector simulations made with eg. geant 4.",2023-11-10
"35","a study of the one-dimensional heat-conduction equation with radiation","mihai halic","numerical analysis","we consider a boundary value problem (bvp) modelling one-dimensional heat-conduction with radiation, which is derived from the stefan-boltzmann law. the problem strongly depends on the parameters, making difficult to estimate the solution. we use an analytical approach to determine upper and lower bounds to the exact solution of the bvp, which allows estimating the latter. finally, we support our theoretical arguments with numerical data, by implementing them into the maple computer program.",2023-11-07
"36","fuzzy relational databases via associative arrays","kevin min, hayden jananthan, jeremy kepner","databases","the increasing rise in artificial intelligence has made the use of imprecise language in computer programs like chatgpt more prominent. fuzzy logic addresses this form of imprecise language by introducing the concept of fuzzy sets, where elements belong to the set with a certain membership value (called the fuzzy value). this paper combines fuzzy data with relational algebra to provide the mathematical foundation for a fuzzy database querying language, describing various useful operations in the language of linear algebra and multiset operations, in addition to rigorously proving key identities.",2023-11-06
"37","how real is incomputability in physics?","josé manuel agüero trejo, cristian s. calude, michael j. dinneen, arkady fedorov, anatoly kulikov, rohit navarathna, karl svozil","quantum physics","a physical system is determined by a finite set of initial conditions and laws represented by equations. the system is computable if we can solve the equations in all instances using a ``finite body of mathematical knowledge"". in this case, if the laws of the system can be coded into a computer program, then given the system's initial conditions of the system, one can compute the system's evolution. this scenario is tacitly taken for granted. but is this reasonable? the answer is negative, and a straightforward example is when the initial conditions or equations use irrational numbers, like chaitin's omega number: no program can deal with such numbers because of their ``infinity''. are there incomputable physical systems? this question has been theoretically studied in the last 30--40 years. this article presents a class of quantum protocols producing quantum random bits. theoretically, we prove that every infinite sequence generated by these quantum protocols is strongly incomputable -- no algorithm computing any bit of such a sequence can be proved correct. this theoretical result is not only more robust than the ones in the literature: experimental results support and complement it.",2023-11-02
"38","naijacoder: participatory design for early algorithms education in the global south","daniel alabi, atinuke adegbile, lekan afuye, philip abel, alida monaco","computers and society","the majority of nigerian high schoolers have little to no exposure to the basics of algorithms and programming. we believe this trajectory should change as programming offers these students, especially those from indigent backgrounds, an opportunity to learn profitable skills and ignite their passions for problem-solving and critical thinking.
naijacoder is an organization that is dedicated to organizing a free, intensive summer program in nigeria to teach the basics of algorithms and computer programming to high schoolers. however, the adoption of computer science curriculum has been especially challenging in countries in the global south that face unique challenges -- such as unstable power supply, internet service, and price volatility. we design a curriculum that is more conducive to the local environment while incorporating rigorous thinking and preparation. using basic survey designs, we elicit feedback, from the students, designed to further improve and iterate on our curriculum.",2023-10-31
"39","a unique training strategy to enhance language models capabilities for health mention detection from social media content","pervaiz iqbal khan, muhammad nabeel asim, andreas dengel, sheraz ahmed","artificial intelligence","an ever-increasing amount of social media content requires advanced ai-based computer programs capable of extracting useful information. specifically, the extraction of health-related content from social media is useful for the development of diverse types of applications including disease spread, mortality rate prediction, and finding the impact of diverse types of drugs on diverse types of diseases. language models are competent in extracting the syntactic and semantics of text. however, they face a hard time extracting similar patterns from social media texts. the primary reason for this shortfall lies in the non-standardized writing style commonly employed by social media users. following the need for an optimal language model competent in extracting useful patterns from social media text, the key goal of this paper is to train language models in such a way that they learn to derive generalized patterns. the key goal is achieved through the incorporation of random weighted perturbation and contrastive learning strategies. on top of a unique training strategy, a meta predictor is proposed that reaps the benefits of 5 different language models for discriminating posts of social media text into non-health and health-related classes. comprehensive experimentation across 3 public benchmark datasets reveals that the proposed training strategy improves the performance of the language models up to 3.87%, in terms of f1-score, as compared to their performance with traditional training. furthermore, the proposed meta predictor outperforms existing health mention classification predictors across all 3 benchmark datasets.",2023-10-29
"40","a survey of methods for estimating hurst exponent of time sequence","hong-yan zhang, zhi-qiang feng, si-yu feng, yu zhou","methodology","the hurst exponent is a significant indicator for characterizing the self-similarity and long-term memory properties of time sequences. it has wide applications in physics, technologies, engineering, mathematics, statistics, economics, psychology and so on. currently, available methods for estimating the hurst exponent of time sequences can be divided into different categories: time-domain methods and spectrum-domain methods based on the representation of time sequence, linear regression methods and bayesian methods based on parameter estimation methods. although various methods are discussed in literature, there are still some deficiencies: the descriptions of the estimation algorithms are just mathematics-oriented and the pseudo-codes are missing; the effectiveness and accuracy of the estimation algorithms are not clear; the classification of estimation methods is not considered and there is a lack of guidance for selecting the estimation methods. in this work, the emphasis is put on thirteen dominant methods for estimating the hurst exponent. for the purpose of decreasing the difficulty of implementing the estimation methods with computer programs, the mathematical principles are discussed briefly and the pseudo-codes of algorithms are presented with necessary details. it is expected that the survey could help the researchers to select, implement and apply the estimation algorithms of interest in practical situations in an easy way.",2023-10-29
"41","on possible symmetry groups of 27-vertex triangulations of manifolds like the octonionic projective plane","alexander a. gaifullin","combinatorics","in 1987 brehm and kühnel showed that any triangulation of a combinatorial $d$-manifold (without boundary) that is not homeomorphic to the sphere has at least $3d/2+3$ vertices. moreover, triangulations with exactly $3d/2+3$ vertices may exist only for `manifolds like projective planes', which can have dimensions $2$, $4$, $8$, and $16$ only. there is a $6$-vertex triangulation of $\mathbb{rp}^2$, a $9$-vertex triangulation of $\mathbb{cp}^2$, and $15$-vertex triangulations of $\mathbb{hp}^2$. recently, the author has constructed first examples of $27$-vertex triangulations of manifolds like the octonionic projective plane $\mathbb{op}^2$. the four most symmetrical have symmetry group $\mathrm{c}_3^3\rtimes \mathrm{c}_{13}$ of order $351$. these triangulations were constructed using a computer program after the symmetry group was guessed. however, it remained unclear why exactly this group is realized as the symmetry group and whether $27$-vertex triangulations of manifolds like $\mathbb{op}^2$ exist with other (possibly larger) symmetry groups. in this paper we find strong restrictions on symmetry groups of such $27$-vertex triangulations. namely, we present a list of $26$ subgroups of $\mathrm{s}_{27}$ containing all possible symmetry groups of $27$-vertex triangulations of manifolds like the octonionic projective plane. (we do not know whether all these subgroups can be realized as symmetry groups.) the group $\mathrm{c}_3^3\rtimes \mathrm{c}_{13}$ is the largest group in this list, and the orders of all other groups do not exceed $52$. a key role in our approach is played by the use of smith and bredon's results on the cohomology of fixed point sets of finite transformation groups.",2023-10-25
"42","each friend of 10 has at least 10 nonidentical prime factors","henry robert thackeray","number theory","for each positive integer n, if the sum of the factors of n is divided by n, then the result is called the abundancy index of n. if the abundancy index of some positive integer m equals the abundancy index of n but m is not equal to n, then m and n are called friends. a positive integer with no friends is called solitary. the smallest positive integer that is not known to have a friend and is not known to be solitary is 10.
it is not known if the number 6 has odd friends, that is, if odd perfect numbers exist. in a 2007 article, nielsen proved that the number of nonidentical prime factors in any odd perfect number is at least 9. a 2015 article by nielsen, which was more complicated and used a computer program that took months to complete, increased the lower bound from 9 to 10.
this work applies methods from nielsen's 2007 article to show that each friend of 10 has at least 10 nonidentical prime factors.
this is a formal write-up of results to be presented at the southern africa mathematical sciences association conference 2023 at the university of pretoria.",2023-10-24
"43","exploring the creation and humanization of digital life: consciousness simulation and human-machine interaction","qikang zhang","human-computer interaction","digital life, a form of life generated by computer programs or artificial intelligence systems, it possesses self-awareness, thinking abilities, emotions, and subjective consciousness. achieving it involves complex neural networks, multi-modal sensory integration [1, 2], feedback mechanisms, and self-referential processing [3]. injecting prior knowledge into digital life structures is a critical step. it guides digital entities' understanding of the world, decision-making, and interactions. we can customize and personalize digital life, it includes adjusting intelligence levels, character settings, personality traits, and behavioral characteristics. virtual environments facilitate efficient and controlled development, allowing user interaction, observation, and active participation in digital life's growth. researchers benefit from controlled experiments, driving technological advancements. the fusion of digital life into the real world offers exciting possibilities for human-digital entity collaboration and coexistence.",2023-10-10
"44","isolation of squares in graphs","karl bartolo, peter borg, dayle scicluna","combinatorics","given a set $\mathcal{f}$ of graphs, we call a copy of a graph in $\mathcal{f}$ an $\mathcal{f}$-graph. the $\mathcal{f}$-isolation number of a graph $g$, denoted by $\iota(g,\mathcal{f})$, is the size of a smallest subset $d$ of the vertex set $v(g)$ such that the closed neighbourhood of $d$ intersects the vertex sets of the $\mathcal{f}$-graphs contained by $g$ (equivalently, $g - n[d]$ contains no $\mathcal{f}$-graph). thus, $\iota(g,\{k_1\})$ is the domination number of $g$. the second author showed that if $\mathcal{f}$ is the set of cycles and $g$ is a connected $n$-vertex graph that is not a triangle, then $\iota(g,\mathcal{f}) \leq \left \lfloor \frac{n}{4} \right \rfloor$. this bound is attainable for every $n$ and solved a problem of caro and hansberg. a question that arises immediately is how smaller an upper bound can be if $\mathcal{f} = \{c_k\}$ for some $k \geq 3$, where $c_k$ is a cycle of length $k$. the problem is to determine the smallest real number $c_k$ (if it exists) such that for some finite set $\mathcal{e}_k$ of graphs, $\iota(g, \{c_k\}) \leq c_k |v(g)|$ for every connected graph $g$ that is not an $\mathcal{e}_k$-graph. the above-mentioned result yields $c_3 = \frac{1}{4}$ and $\mathcal{e}_3 = \{c_3\}$. the second author also showed that if $k \geq 5$ and $c_k$ exists, then $c_k \geq \frac{2}{2k + 1}$. we prove that $c_4 = \frac{1}{5}$ and determine $\mathcal{e}_4$, which consists of three $4$-vertex graphs and six $9$-vertex graphs. the $9$-vertex graphs in $\mathcal{e}_4$ were fully determined by means of a computer program. a method that has the potential of yielding similar results is introduced.",2023-10-13
"45","scalelat: a chemical structure matching algorithm for mapping atomic structure of multi-phase system and high entropy alloys","nan li, junming guo, sateng li, haoliang liu, qianwu li, fangjie shi, yefei li, bing xiao","materials science","scalelat (scale lattice) is a computer program written in c for performing the atomic structure analysis of multi-phase system or high entropy alloys (heas). the program implements an atomic cluster extraction algorithm to obtain all independent and symmetry-reduced characteristic chemical structures for the complex atomic configurations which are usually obtained from molecular dynamics or kinetic monte-carlo simulations for supercell containing more than 104 atoms. scalelat employes an efficient and unique chemical structure matching algorithm to map all extracted atomic clusters from a large supercell (>10^4 atoms) to a representative small one (~ 10^3 or less), providing the possibility to directly use the highly accurate quantum mechanical methods to study the electronic, magnetic, and mechanical properties of multi-component alloys with complex microstructures. we demonstrate the capability of scalelat code by conducting both the atomic structure analysis and chemical structure matching procedure for fe-12.8 at.% cr binary alloy and equiatomic crfeconicu high entropy alloy, and by successfully obtaining the representatively supercells containing 10^2~10^3 atoms of the two alloys. overall, scalelat program provides a universal platform to efficiently project all essential chemical structures of large complex atomic structures to a relatively easy-handling small supercell for quantum mechanical calculations of various user interested properties.",2023-10-07
"46","fecmd: a multi-physics and multi-scale computational program for electron emission characteristics dynamically coupled with atomic structure in metal nano-emitters","nan li, xinyu gao, xianghui feng, kai wu, yonghong cheng, bing xiao","computational physics","field emission coupled with molecular dynamics simulation (fecmd) software package is a computational tool for studying the electron emission characteristics and the atomic structure evolution of micro- and nano-protrusions made of pure metals or multi-component alloys by means of multi-physics and multi-scale methodology. the implementations of molecular dynamics, the electrodynamics, and the heat conduction in fecmd program are addressed. for molecular dynamics simulation, the lennard-jones potentials, embedded atomic method (eam), and moment tensor potentials (mtp) are fully supported for both alloys and pure metals. in the electrodynamics, the fecmd program incorporates the space charge fields (space charge potential and exchange-correlation effects) in the wentzel-kramers-brillouin-jeffreys (wkbj) approximation to evaluate the field emission current density more reliably for nano-gaps between two metal electrodes. additionally, the advanced two-temperature heat conduction model is implemented in fecmd program, and which provides more reliable descriptions for the temperature evolutions of electron and phonon subsystems under the radiofrequency (rf) or pulse electric fields. comprehensive benchmark tests are performed for each module in fecmd software to validate the numerical results, and also to access the accuracy and efficiency of the implemented algorithms. finally, some typical applications of fecmd program are also demonstrated for understanding the evolution of temperature and electric field coupled with the dynamic changing of atomic structures for metal micro- and nano-protrusions.",2023-10-07
"47","trustworthy formal natural language specifications","colin s. gordon, sergey matskevich","programming languages","interactive proof assistants are computer programs carefully constructed to check a human-designed proof of a mathematical claim with high confidence in the implementation. however, this only validates truth of a formal claim, which may have been mistranslated from a claim made in natural language. this is especially problematic when using proof assistants to formally verify the correctness of software with respect to a natural language specification. the translation from informal to formal remains a challenging, time-consuming process that is difficult to audit for correctness.
this paper shows that it is possible to build support for specifications written in expressive subsets of natural language, within existing proof assistants, consistent with the principles used to establish trust and auditability in proof assistants themselves. we implement a means to provide specifications in a modularly extensible formal subset of english, and have them automatically translated into formal claims, entirely within the lean proof assistant. our approach is extensible (placing no permanent restrictions on grammatical structure), modular (allowing information about new words to be distributed alongside libraries), and produces proof certificates explaining how each word was interpreted and how the sentence's structure was used to compute the meaning.
we apply our prototype to the translation of various english descriptions of formal specifications from a popular textbook into lean formalizations; all can be translated correctly with a modest lexicon with only minor modifications related to lexicon size.",2023-10-05
"48","divide, conquer and verify: improving symbolic execution performance","christopher scherb, luc bryan heitz, hermann grieder, olivier mattmann","cryptography and security","symbolic execution is a formal method that can be used to verify the behavior of computer programs and detect software vulnerabilities. compared to other testing methods such as fuzzing, symbolic execution has the advantage of providing formal guarantees about the program. however, despite advances in performance in recent years, symbolic execution is too slow to be applied to real-world software. this is primarily caused by the \emph{path explosion problem} as well as by the computational complexity of smt solving. in this paper, we present a divide-and-conquer approach for symbolic execution by executing individual slices and later combining the side effects. this way, the overall problem size is kept small, reducing the impact of computational complexity on large problems.",2023-10-05
"49","applications of improvements to the pythagorean won-loss expectation in optimizing rosters","alexander f. almeida, kevin dayaratna, steven j. miller, andrew k. yang","applications","bill james' pythagorean formula has for decades done an excellent job estimating a baseball team's winning percentage from very little data: if the average runs scored and allowed are denoted respectively by ${\rm rs}$ and ${\rm ra}$, there is some $\gamma$ such that the winning percentage is approximately ${\rm rs}^\gamma / ({\rm rs}^\gamma + {\rm ra}^\gamma)$. one important consequence is to determine the value of different players to the team, as it allows us to estimate how many more wins we would have given a fixed increase in run production. we summarize earlier work on the subject, and extend the earlier theoretical model of miller (who estimated the run distributions as arising from independent weibull distributions with the same shape parameter; this has been observed to describe the observed run data well). we now model runs scored and allowed as being drawn from independent weibull distributions where the shape parameter is not necessarily the same, and then use the method of moments to solve a system of four equations in four unknowns. doing so yields a predicted winning percentage that is consistently better than earlier models over the last 30 mlb seasons (1994 to 2023). this comes at a small cost as we no longer have a closed form expression but must evaluate a two-dimensional integral of two weibull distributions and numerically estimate the solutions to the system of equations; as these are trivial to do with simple computational programs it is well worth adopting this framework and avoiding the issues of implementing the method of least squares or the method of maximum likelihood.",2023-10-02
"50","open hardware solutions in quantum technology","nathan shammah, anurag saha roy, carmen g. almudever, sébastien bourdeauducq, anastasiia butko, gustavo cancelo, susan m. clark, johannes heinsoo, loïc henriet, gang huang, christophe jurczak, janne kotilahti, alessandro landra, ryan larose, andrea mari, kasra nowrouzi, caspar ockeloen-korppi, guen prawiroatmodjo, irfan siddiqi, william j. zeng","applied physics","quantum technologies such as communications, computing, and sensing offer vast opportunities for advanced research and development. while an open-source ethos currently exists within some quantum technologies, especially in quantum computer programming, we argue that there are additional advantages in developing open quantum hardware (oqh). open quantum hardware encompasses open-source software for the control of quantum devices in labs, blueprints and open-source toolkits for chip design and other hardware components, as well as openly-accessible testbeds and facilities that allow cloud-access to a wider scientific community. we provide an overview of current projects in the oqh ecosystem, identify gaps, and make recommendations on how to close them today. more open quantum hardware would accelerate technology transfer to and growth of the quantum industry and increase accessibility in science.",2023-09-29
"51","framework and model analysis on bengali document layout analysis dataset: badlad","kazi reyazul hasan (1), mubasshira musarrat (1), sadif ahmed (1), shahriar raj (1) ((1) bangladesh university of engineering and technology)","computer vision and pattern recognition","this study focuses on understanding bengali document layouts using advanced computer programs: detectron2, yolov8, and sam. we looked at lots of different bengali documents in our study. detectron2 is great at finding and separating different parts of documents, like text boxes and paragraphs. yolov8 is good at figuring out different tables and pictures. we also tried sam, which helps us understand tricky layouts. we tested these programs to see how well they work. by comparing their accuracy and speed, we learned which one is good for different types of documents. our research helps make sense of complex layouts in bengali documents and can be useful for other languages too.",2023-08-15
"52","from text to trends: a unique garden analytics perspective on the future of modern agriculture","parag saxena","artificial intelligence","data-driven insights are essential for modern agriculture. this research paper introduces a machine learning framework designed to improve how we educate and reach out to people in the field of horticulture. the framework relies on data from the horticulture online help desk (hohd), which is like a big collection of questions from people who love gardening and are part of the extension master gardener program (emgp). this framework has two main parts. first, it uses special computer programs (machine learning models) to sort questions into categories. this helps us quickly send each question to the right expert, so we can answer it faster. second, it looks at when questions are asked and uses that information to guess how many questions we might get in the future and what they will be about. this helps us plan on topics that will be really important. it's like knowing what questions will be popular in the coming months. we also take into account where the questions come from by looking at the zip code. this helps us make research that fits the challenges faced by gardeners in different places. in this paper, we demonstrate the potential of machine learning techniques to predict trends in horticulture by analyzing textual queries from homeowners. we show that nlp, classification, and time series analysis can be used to identify patterns in homeowners' queries and predict future trends in horticulture. our results suggest that machine learning could be used to predict trends in other agricultural sectors as well. if large-scale agriculture industries curate and maintain a comparable repository of textual data, the potential for trend prediction and strategic agricultural planning could be revolutionized. this convergence of technology and agriculture offers a promising pathway for the future of sustainable farming and data-informed agricultural practices",2023-09-22
"53","personalization, cognition, and gamification-based programming language learning: a state-of-the-art systematic literature review","kashif ishaq, atif alvi","computers and society","programming courses in computing science are important because they are often the first introduction to computer programming for many students. many university students are overwhelmed with the information they must learn for an introductory course. the current teacher-lecturer model of learning commonly employed in university lecture halls often results in a lack of motivation and participation in learning. personalized gamification is a pedagogical approach that combines gamification and personalized learning to motivate and engage students while addressing individual differences in learning. this approach integrates gamification and personalized learning strategies to inspire and involve students while addressing their unique learning needs and differences. a comprehensive literature search was conducted by including 81 studies that were analyzed based on their research design, intervention, outcome measures, and quality assessment. the findings suggest that personalized gamification can enhance student cognition in programming courses by improving motivation, engagement, and learning outcomes. however, the effectiveness of personalized gamification varies depending on various factors, such as the type of gamification elements used, the degree of personalization, and the characteristics of the learners. this paper provides insights into designing and implementing effective personalized gamification interventions in programming courses. the findings could inform educational practitioners and researchers in programming education about the potential benefits of personalized gamification and its implications for educational practice.",2023-09-05
"54","computation of 3d band structure and density of states (dos) of 14 face centered cubic (fcc) crystals using pseudopotentials","mirza akbar ali","materials science","electronic properties of materials are crucial to their ability to function in a wide range of applications, from electronics and energy production to structural materials and biomedicine. computational methods are crucial in understanding these properties before developing the materials. based on techniques from cohen-bergstresser and monkhorst-pack, we developed a computer program to calculate the electronic structure and density of the state of 14 fcc crystals.",2023-09-19
"55","algebra of self-replication","lawrence s. moss","logic in computer science","typical arguments for results like kleene's second recursion theorem and the existence of self-writing computer programs bear the fingerprints of equational reasoning and combinatory logic. in fact, the connection of combinatory logic and computability theory is very old, and this paper extends this connection in new ways. in one direction, we counter the main trend in both computability theory and combinatory logic of heading straight to undecidability. instead, this paper proposes using several very small equational logics to examine results in computability theory itself. these logics are decidable via term rewriting. we argue that they have something interesting to say about computability theory. they are closely related to fragments of combinatory logic which are decidable, and so this paper contributes to the study of such fragments. the paper has a few surprising results such as a classification of quine programs (programs which output themselves) in two decidable fragments. the classification goes via examination of normal forms in term rewriting systems, hence the title of the paper. the classification is an explanation of why all quine programs (in any language) are ""pretty much the same, except for inessential details."" in addition, we study the relational structure whose objects are the programs with the relation ""p expresses q"" meaning that if the program p is run on nothing, then it eventually outputs the program q.",2023-09-18
"56","sums of products of binomial coefficients mod 2 and 2-regular sequences","narad rampersad, max wiebe","number theory","wu showed that certain sums of products of binomial coefficients modulo 2 are given by the run length transforms of several famous linear recurrence sequences, such as the positive integers, the fibonacci numbers, the extended lucas numbers, and narayana's cows sequence. in this paper we show that the run length transform of such sequences are 2-regular sequences. this allows us to obtain wu's results and some new ones using the computer program walnut, eliminating the need for long technical proofs.",2023-09-07
"57","a phenomenological approach to interactive knot diagrams","lennart finke, edmund weitz","human-computer interaction","knot diagrams are among the most common visual tools in topology. computer programs now make it possible to draw, manipulate and render them digitally, which proves to be useful in knot theory teaching and research. still, an openly available tool to manipulate knot diagrams in a real-time, interactive way is yet to be developed. we introduce a method of operating on the geometry of the knot diagram itself without any underlying three-dimensional structure that can underpin such an application. this allows us to directly interact with vector graphics knot diagrams while at the same time computing knot invariants in ways proposed by previous work. an implementation of this method is provided.",2023-09-01
"58","the cone of mueller matrices","martha takane, j. ivan lopez-reyes, j. othon parra-alcantar","mathematical physics","in the study of polarized light, there are two basic notions: the stokes vectors and the matrices which preserve them, called mueller matrices. the set of stokes vectors forms a cone: the future light cone. in this work we will see that the mueller matrices also form a cone in the vector space of real matrices of size 4x4, called the mueller cone. we obtain some properties of the mueller cone, which in turn will be translated into properties of the stokes vectors. as an application we will give a computational program to calibrate polarimeters by means of the eigenvectors of mueller matrices (ecm). we include computational programs to 1. deduce if a matrix is a mueller matrix, 2. give an approximation of a matrix by a mueller matrix, 3. an approximation of a mueller matrix by mueller invertibles, 4. an approximation of a mueller matrix by a stokes-cone-primitive mueller matrix, see (4.7) and 5. an eigenvalue calibration method. all these programs and implementations can be found in
this https url",2023-08-31
"59","experimenting with chatgpt for spreadsheet formula generation: evidence of risk in ai generated spreadsheets","simon thorne","software engineering","large language models (llm) have become sophisticated enough that complex computer programs can be created through interpretation of plain english sentences and implemented in a variety of modern languages such as python, java script, c++ and spreadsheets. these tools are powerful and relatively accurate and therefore provide broad access to computer programming regardless of the background or knowledge of the individual using them. this paper presents a series of experiments with chatgpt to explore the tool's ability to produce valid spreadsheet formulae and related computational outputs in situations where chatgpt has to deduce, infer and problem solve the answer. the results show that in certain circumstances, chatgpt can produce correct spreadsheet formulae with correct reasoning, deduction and inference. however, when information is limited, uncertain or the problem is too complex, the accuracy of chatgpt breaks down as does its ability to reason, infer and deduce. this can also result in false statements and ""hallucinations"" that all subvert the process of creating spreadsheet formulae.",2023-08-31
"60","implementing performance portability of high performance computing programs in the new golden age of chip architecture","weifeng liu, linping wu, xiaowen xu, yuren wang","hardware architecture","as an important goal of high-performance computing, the concept of performance portability has been around for many years. as the failure of moore's law, it is no longer feasible to improve computer performance by simply increasing the number of existing hardware. the innovation of high performance computer is imperative, which makes high-performance computers with multiple architectures coexist in the production environment. for example, current high-performance computing nodes often use co-accelerators such like general-purpose gpus and intel xeon phis to accelerate general-purpose processors. with the flourishing of deep learning, dedicated neural network acceleration chips are also arising. the emergence of co-accelerators with different architectures and their wide application in high-performance computers have challenged the performance portability of programs between high-performance computers with different architectures. this article summarizes the current performance portability technology from the programming model, serial code automatic parallelization, parallel code automatic conversion, etc. at the end of the article, it also summarizes how to use scientific computing function libraries to improve performance and performance portability of a program. different application scenarios need different implementation technologies to get performance portability. program developers choose performance portability solutions for their programs. in fact, they balance programming efficiency and optimization effects under various constraints.",2023-08-26
"61","innovating computer programming pedagogy: the ai-lab framework for generative ai adoption","ethan dickey, andres bejarano, chirayu garg","computers and society","over the last year, the ascent of generative ai (genai) has raised concerns about its impact on core skill development, such as problem-solving and algorithmic thinking, in computer science students. preliminary anonymous surveys show that at least 48.5% of our students use genai for homework. with the proliferation of these tools, the academic community must contemplate the appropriate role of these tools in education. neglecting this might culminate in a phenomenon we term the ""junior-year wall,"" where students struggle in advanced courses due to prior over-dependence on genai. instead of discouraging genai use, which may unintentionally foster covert usage, our research seeks to answer: ""how can educators guide students' interactions with genai to preserve core skill development during their foundational academic years?""
we introduce ""ai-lab,"" a pedagogical framework for guiding students in effectively leveraging genai within core collegiate programming courses. this framework accentuates genai's benefits and potential as a pedagogical instrument. by identifying and rectifying genai's errors, students enrich their learning process. moreover, ai-lab presents opportunities to use genai for tailored support such as topic introductions, detailed examples, corner case identification, rephrased explanations, and debugging assistance. importantly, the framework highlights the risks of genai over-dependence, aiming to intrinsically motivate students towards balanced usage. this approach is premised on the idea that mere warnings of genai's potential failures may be misconstrued as instructional shortcomings rather than genuine tool limitations.
additionally, ai-lab offers strategies for formulating prompts to elicit high-quality genai responses. for educators, ai-lab provides mechanisms to explore students' perceptions of genai's role in their learning experience.",2023-08-23
"62","chatlogo: a large language model-driven hybrid natural-programming language interface for agent-based modeling and programming","john chen, uri wilensky","human-computer interaction","building on papert (1980)'s idea of children talking to computers, we propose chatlogo, a hybrid natural-programming language interface for agent-based modeling and programming. we build upon previous efforts to scaffold abm & p learning and recent development in leveraging large language models (llms) to support the learning of computational programming. chatlogo aims to support conversations with computers in a mix of natural and programming languages, provide a more user-friendly interface for novice learners, and keep the technical system from over-reliance on any single llm. we introduced the main elements of our design: an intelligent command center, and a conversational interface to support creative expression. we discussed the presentation format and future work. responding to the challenges of supporting open-ended constructionist learning of abm & p and leveraging llms for educational purposes, we contribute to the field by proposing the first constructionist llm-driven interface to support computational and complex systems thinking.",2023-08-16
"63","data race detection using large language models","le chen, xianzhong ding, murali emani, tristan vanderbruggen, pei-hung lin, chuanhua liao","machine learning","large language models (llms) are demonstrating significant promise as an alternate strategy to facilitate analyses and optimizations of high-performance computing programs, circumventing the need for resource-intensive manual tool creation. in this paper, we explore a novel llm-based data race detection approach combining prompting engineering and fine-tuning techniques. we create a dedicated dataset named drb-ml, which is derived from dataracebench, with fine-grain labels showing the presence of data race pairs and their associated variables, line numbers, and read/write information. drb-ml is then used to evaluate representative llms and fine-tune open-source ones. our experiment shows that llms can be a viable approach to data race detection. however, they still cannot compete with traditional data race detection tools when we need detailed information about variable pairs causing data races.",2023-08-15
