"","Title","Author","Subject","Abstract","Meta"
"28","Classification of Minimal Separating Sets of Low Genus Surfaces","Christopher N. Aagaard, J.J.P. Veerman","Combinatorics (math.CO)","A minimal separating set in a connected topological space $X$ is a subset $L \subset X$ with the property that $X \setminus L$ is disconnected, but if $L^{\prime}$ is a proper subset of $L$, then $X \setminus L^{\prime}$ is connected. Such sets show up in a variety of contexts. For example, in a wide class of metric spaces, if we choose distinct points p and q, then the set of points x satisfying d(x, p) = d(x, q) is a minimal separating set. In this paper we classify which topological graphs can be realized as minimal separating sets in surfaces of low genus. In general the question of whether a graph can be embedded at all in a surface is a difficult one, so our work is partly computational. We classify graphs embeddings which are minimal separating in a given genus and write a computer program to find all such embeddings and their underlying graphs.","Mon, 4 Dec 2023 21:36:28 UTC (79 KB)"
"29","Function-constrained Program Synthesis","Patrick Hajali, Ignas Budvytis","Machine Learning (cs.LG)","This work introduces (1) a technique that allows large language models (LLMs) to leverage user-provided code when solving programming tasks and (2) a method to iteratively generate modular sub-functions that can aid future code generation attempts when the initial code generated by the LLM is inadequate. Generating computer programs in general-purpose programming languages like Python poses a challenge for LLMs when instructed to use code provided in the prompt. Code-specific LLMs (e.g., GitHub Copilot, CodeLlama2) can generate code completions in real-time by drawing on all code available in a development environment. However, restricting code-specific LLMs to use only in-context code is not straightforward, as the model is not explicitly instructed to use the user-provided code and users cannot highlight precisely which snippets of code the model should incorporate into its context. Moreover, current systems lack effective recovery methods, forcing users to iteratively re-prompt the model with modified prompts until a sufficient solution is reached. Our method differs from traditional LLM-powered code-generation by constraining code-generation to an explicit function set and enabling recovery from failed attempts through automatically generated sub-functions. When the LLM cannot produce working code, we generate modular sub-functions to aid subsequent attempts at generating functional code. A by-product of our method is a library of reusable sub-functions that can solve related tasks, imitating a software team where efficiency scales with experience. We also introduce a new ""half-shot"" evaluation paradigm that provides tighter estimates of LLMs' coding abilities compared to traditional zero-shot evaluation. Our proposed evaluation method encourages models to output solutions in a structured format, decreasing syntax errors that can be mistaken for poor coding ability.","Mon, 27 Nov 2023 02:55:34 UTC (2,523 KB)[v2] Mon, 4 Dec 2023 06:24:02 UTC (2,523 KB)"
"30","Anyone Can Code: Algorithmic Thinking","Ali Arya","Programming Languages (cs.PL)","As the second book in the Anyone Can Code series, Algorithmic Thinking focuses on the logic behind computer programming and software design. With a data-centred approach, it starts with simple algorithms that work on simple data items and advances to more complex ones covering data structures and classes. Examples are given in C/C++ and Python and use both plain text and graphics applications to illustrate the concepts in different languages and forms. With the advances in artificial intelligence and automated code generators, it is essential to learn about the logic of what a code needs to do, not just how to write the code. Anyone Can Code: Algorithmic Thinking is suitable for anyone who aims to improve their programming skills and go beyond the simple craft of programming, stepping into the world of algorithm design.","Thu, 23 Nov 2023 20:12:29 UTC (2,848 KB)"
"31","ZZPolyCalc: An open-source code with fragment caching for determination of Zhang-Zhang polynomials of carbon nanostructures","Rafał Podeszwa, Henryk A. Witek, Chien-Pin Chou","Computational Physics (physics.comp-ph)","Determination of topological invariants of graphene flakes, nanotubes, and fullerenes constitutes a challenging task due to its time-intensive nature and exponential scaling. The invariants can be organized in a form of a combinatorial polynomial commonly known as the Zhang-Zhang (ZZ) polynomial or the Clar covering polynomial. We report here a computer program, ZZPolyCalc, specifically designed to compute ZZ polynomials of large carbon nanostructures. The curse of exponential scaling is avoided for a broad class of nanostructures by employing a sophisticated bookkeeping algorithm, in which each fragment appearing in the recursive decomposition is stored in the cache repository of molecular fragments indexed by a hash of the corresponding adjacency matrix. Although exponential scaling persists for the remaining nanostructures, the computational time is reduced by a few orders of magnitude owing to efficient use of hash-based fragment bookkeeping. The provided benchmark timings show that ZZPolyCalc allows for treating much larger carbon nanostructures than previously envisioned.","Sun, 19 Nov 2023 08:28:26 UTC (229 KB)"
"32","Verification of a Rust Implementation of Knuth's Dancing Links using ACL2","David S. Hardin","Logic in Computer Science (cs.LO)","Dancing Links connotes an optimization to a circular doubly-linked list data structure implementation which provides for fast list element removal and restoration.  The Dancing Links optimization is used primarily in fast algorithms to find exact covers, and has been popularized by Knuth  in Volume 4B of his seminal series The Art of Computer Programming. We describe an implementation of the Dancing Links optimization in the Rust programming language, as well as its formal verification using the ACL2 theorem prover.  Rust has garnered significant endorsement in the past few years as a modern, memory-safe successor to C/C++ at companies such as Amazon, Google, and Microsoft, and is being integrated into both the Linux and Windows operating system kernels. Our interest in Rust stems from its potential as a hardware/software co-assurance language, with application to critical systems.  We have crafted a Rust subset, inspired by Russinoff's Restricted Algorithmic C (RAC), which we have imaginatively named Restricted Algorithmic Rust, or RAR.  In previous work, we described our initial implementation of a RAR toolchain, wherein we simply transpile the RAR source into RAC.  By so doing,  we leverage a number of existing hardware/software co-assurance tools with a minimum investment of time and effort.  In this paper, we describe the RAR Rust subset, describe our improved prototype RAR toolchain, and detail the design and verification of a circular doubly-linked list data structure employing the Dancing Links optimization in RAR, with full proofs of functional correctness accomplished using the ACL2 theorem prover.","Wed, 15 Nov 2023 10:48:48 UTC (24 KB)"
"33","Anticipating User Needs: Insights from Design Fiction on Conversational Agents for Computational Thinking","Jacob Penney, João Felipe Pimentel, Igor Steinmacher, Marco A. Gerosa","Human-Computer Interaction (cs.HC)","Computational thinking, and by extension, computer programming, is notoriously challenging to learn. Conversational agents and generative artificial intelligence (genAI) have the potential to facilitate this learning process by offering personalized guidance, interactive learning experiences, and code generation. However, current genAI-based chatbots focus on professional developers and may not adequately consider educational needs. Involving educators in conceiving educational tools is critical for ensuring usefulness and usability. We enlisted \numParticipants{} instructors to engage in design fiction sessions in which we elicited abilities such a conversational agent supported by genAI should display. Participants envisioned a conversational agent that guides students stepwise through exercises, tuning its method of guidance with an awareness of the educational background, skills and deficits, and learning preferences. The insights obtained in this paper can guide future implementations of tutoring conversational agents oriented toward teaching computational thinking and computer programming.","Sun, 12 Nov 2023 16:19:03 UTC (969 KB)"
"34","ERNIE: A Reactor Antineutrino Inverse Beta Decay Event Generator","Murat Altınlı, Halil Gamsızkan","High Energy Physics - Phenomenology (hep-ph)","We present ERNIE, a computer program which generates nuclear reactor electron antineutrinos and inverse beta decay events induced by these particles, using the Monte-Carlo method. The program allows the usage of different antineutrino energy spectra models and can simulate the time evolution of the overall antineutrino spectrum because of the burn-up effect. The output of the program can readily be used in detector simulations made with eg. GEANT 4.","Fri, 10 Nov 2023 07:06:35 UTC (45 KB)"
"35","A Study of the One-Dimensional Heat-Conduction Equation with Radiation","Mihai Halic","Numerical Analysis (math.NA)","We consider a boundary value problem (BVP) modelling one-dimensional heat-conduction with radiation, which is derived from the Stefan-Boltzmann law. The problem strongly depends on the parameters, making difficult to estimate the solution. We use an analytical approach to determine upper and lower bounds to the exact solution of the BVP, which allows estimating the latter. Finally, we support our theoretical arguments with numerical data, by implementing them into the MAPLE computer program.","Tue, 7 Nov 2023 15:26:23 UTC (334 KB)[v2] Wed, 31 Jan 2024 16:30:44 UTC (334 KB)"
"36","Fuzzy Relational Databases via Associative Arrays","Kevin Min, Hayden Jananthan, Jeremy Kepner","Databases (cs.DB)","The increasing rise in artificial intelligence has made the use of imprecise language in computer programs like ChatGPT more prominent. Fuzzy logic addresses this form of imprecise language by introducing the concept of fuzzy sets, where elements belong to the set with a certain membership value (called the fuzzy value). This paper combines fuzzy data with relational algebra to provide the mathematical foundation for a fuzzy database querying language, describing various useful operations in the language of linear algebra and multiset operations, in addition to rigorously proving key identities.","Mon, 6 Nov 2023 22:19:30 UTC (884 KB)"
"37","How Real is Incomputability in Physics?","José Manuel Agüero Trejo, Cristian S. Calude, Michael J. Dinneen, Arkady Fedorov, Anatoly Kulikov, Rohit Navarathna, Karl Svozil","Quantum Physics (quant-ph)","A physical system is determined by a finite set of initial conditions and laws represented by equations. The system is computable if we can solve the equations in all instances using a ``finite body of mathematical knowledge"". In this case, if the laws of the system can be coded into a computer program, then given the system's initial conditions of the system, one can compute the system's evolution. This scenario is tacitly taken for granted. But is this reasonable? The answer is negative, and a straightforward example is when the initial conditions or equations use irrational numbers, like Chaitin's Omega Number: no program can deal with such numbers because of their ``infinity''. Are there incomputable physical systems? This question has been theoretically studied in the last 30--40 years. This article presents a class of quantum protocols producing quantum random bits. Theoretically, we prove that every infinite sequence generated by these quantum protocols is strongly incomputable -- no algorithm computing any bit of such a sequence can be proved correct. This theoretical result is not only more robust than the ones in the literature: experimental results support and complement it.","Thu, 2 Nov 2023 00:44:40 UTC (935 KB)"
"38","NaijaCoder: Participatory Design for Early Algorithms Education in the Global South","Daniel Alabi, Atinuke Adegbile, Lekan Afuye, Philip Abel, Alida Monaco","Computers and Society (cs.CY)","The majority of Nigerian high schoolers have little to no exposure to the basics of algorithms and programming. We believe this trajectory should change as programming offers these students, especially those from indigent backgrounds, an opportunity to learn profitable skills and ignite their passions for problem-solving and critical thinking.
NaijaCoder is an organization that is dedicated to organizing a free, intensive summer program in Nigeria to teach the basics of algorithms and computer programming to high schoolers. However, the adoption of computer science curriculum has been especially challenging in countries in the global south that face unique challenges -- such as unstable power supply, internet service, and price volatility. We design a curriculum that is more conducive to the local environment while incorporating rigorous thinking and preparation. Using basic survey designs, we elicit feedback, from the students, designed to further improve and iterate on our curriculum.","Tue, 31 Oct 2023 14:28:51 UTC (2,091 KB)"
"39","A Unique Training Strategy to Enhance Language Models Capabilities for Health Mention Detection from Social Media Content","Pervaiz Iqbal Khan, Muhammad Nabeel Asim, Andreas Dengel, Sheraz Ahmed","Artificial Intelligence (cs.AI)","An ever-increasing amount of social media content requires advanced AI-based computer programs capable of extracting useful information. Specifically, the extraction of health-related content from social media is useful for the development of diverse types of applications including disease spread, mortality rate prediction, and finding the impact of diverse types of drugs on diverse types of diseases. Language models are competent in extracting the syntactic and semantics of text. However, they face a hard time extracting similar patterns from social media texts. The primary reason for this shortfall lies in the non-standardized writing style commonly employed by social media users. Following the need for an optimal language model competent in extracting useful patterns from social media text, the key goal of this paper is to train language models in such a way that they learn to derive generalized patterns. The key goal is achieved through the incorporation of random weighted perturbation and contrastive learning strategies. On top of a unique training strategy, a meta predictor is proposed that reaps the benefits of 5 different language models for discriminating posts of social media text into non-health and health-related classes. Comprehensive experimentation across 3 public benchmark datasets reveals that the proposed training strategy improves the performance of the language models up to 3.87%, in terms of F1-score, as compared to their performance with traditional training. Furthermore, the proposed meta predictor outperforms existing health mention classification predictors across all 3 benchmark datasets.","Sun, 29 Oct 2023 16:08:33 UTC (766 KB)"
"40","A Survey of Methods for Estimating Hurst Exponent of Time Sequence","Hong-Yan Zhang, Zhi-Qiang Feng, Si-Yu Feng, Yu Zhou","Methodology (stat.ME)","The Hurst exponent is a significant indicator for characterizing the self-similarity and long-term memory properties of time sequences. It has wide applications in physics, technologies, engineering, mathematics, statistics, economics, psychology and so on. Currently, available methods for estimating the Hurst exponent of time sequences can be divided into different categories: time-domain methods and spectrum-domain methods based on the representation of time sequence, linear regression methods and Bayesian methods based on parameter estimation methods. Although various methods are discussed in literature, there are still some deficiencies: the descriptions of the estimation algorithms are just mathematics-oriented and the pseudo-codes are missing; the effectiveness and accuracy of the estimation algorithms are not clear; the classification of estimation methods is not considered and there is a lack of guidance for selecting the estimation methods. In this work, the emphasis is put on thirteen dominant methods for estimating the Hurst exponent. For the purpose of decreasing the difficulty of implementing the estimation methods with computer programs, the mathematical principles are discussed briefly and the pseudo-codes of algorithms are presented with necessary details. It is expected that the survey could help the researchers to select, implement and apply the estimation algorithms of interest in practical situations in an easy way.","Sun, 29 Oct 2023 15:56:53 UTC (7,052 KB)"
"41","On possible symmetry groups of 27-vertex triangulations of manifolds like the octonionic projective plane","Alexander A. Gaifullin","Combinatorics (math.CO)","In 1987 Brehm and Kühnel showed that any triangulation of a combinatorial $d$-manifold (without boundary) that is not homeomorphic to the sphere has at least $3d/2+3$ vertices. Moreover, triangulations with exactly $3d/2+3$ vertices may exist only for `manifolds like projective planes', which can have dimensions $2$, $4$, $8$, and $16$ only. There is a $6$-vertex triangulation of $\mathbb{RP}^2$, a $9$-vertex triangulation of $\mathbb{CP}^2$, and $15$-vertex triangulations of $\mathbb{HP}^2$. Recently, the author has constructed first examples of $27$-vertex triangulations of manifolds like the octonionic projective plane $\mathbb{OP}^2$. The four most symmetrical have symmetry group $\mathrm{C}_3^3\rtimes \mathrm{C}_{13}$ of order $351$. These triangulations were constructed using a computer program after the symmetry group was guessed. However, it remained unclear why exactly this group is realized as the symmetry group and whether $27$-vertex triangulations of manifolds like $\mathbb{OP}^2$ exist with other (possibly larger) symmetry groups. In this paper we find strong restrictions on symmetry groups of such $27$-vertex triangulations. Namely, we present a list of $26$ subgroups of $\mathrm{S}_{27}$ containing all possible symmetry groups of $27$-vertex triangulations of manifolds like the octonionic projective plane. (We do not know whether all these subgroups can be realized as symmetry groups.) The group $\mathrm{C}_3^3\rtimes \mathrm{C}_{13}$ is the largest group in this list, and the orders of all other groups do not exceed $52$. A key role in our approach is played by the use of Smith and Bredon's results on the cohomology of fixed point sets of finite transformation groups.","Wed, 25 Oct 2023 14:44:44 UTC (37 KB)"
"42","Each friend of 10 has at least 10 nonidentical prime factors","Henry Robert Thackeray","Number Theory (math.NT)","For each positive integer n, if the sum of the factors of n is divided by n, then the result is called the abundancy index of n. If the abundancy index of some positive integer m equals the abundancy index of n but m is not equal to n, then m and n are called friends. A positive integer with no friends is called solitary. The smallest positive integer that is not known to have a friend and is not known to be solitary is 10.
It is not known if the number 6 has odd friends, that is, if odd perfect numbers exist. In a 2007 article, Nielsen proved that the number of nonidentical prime factors in any odd perfect number is at least 9. A 2015 article by Nielsen, which was more complicated and used a computer program that took months to complete, increased the lower bound from 9 to 10.
This work applies methods from Nielsen's 2007 article to show that each friend of 10 has at least 10 nonidentical prime factors.
This is a formal write-up of results to be presented at the Southern Africa Mathematical Sciences Association Conference 2023 at the University of Pretoria.","Tue, 24 Oct 2023 15:03:37 UTC (18 KB)"
"43","Exploring the Creation and Humanization of Digital Life: Consciousness Simulation and Human-Machine Interaction","Qikang Zhang","Human-Computer Interaction (cs.HC)","Digital life, a form of life generated by computer programs or artificial intelligence systems, it possesses self-awareness, thinking abilities, emotions, and subjective consciousness. Achieving it involves complex neural networks, multi-modal sensory integration [1, 2], feedback mechanisms, and self-referential processing [3]. Injecting prior knowledge into digital life structures is a critical step. It guides digital entities' understanding of the world, decision-making, and interactions. We can customize and personalize digital life, it includes adjusting intelligence levels, character settings, personality traits, and behavioral characteristics. Virtual environments facilitate efficient and controlled development, allowing user interaction, observation, and active participation in digital life's growth. Researchers benefit from controlled experiments, driving technological advancements. The fusion of digital life into the real world offers exciting possibilities for human-digital entity collaboration and coexistence.","Tue, 10 Oct 2023 17:16:57 UTC (259 KB)"
"44","Isolation of squares in graphs","Karl Bartolo, Peter Borg, Dayle Scicluna","Combinatorics (math.CO)","Given a set $\mathcal{F}$ of graphs, we call a copy of a graph in $\mathcal{F}$ an $\mathcal{F}$-graph. The $\mathcal{F}$-isolation number of a graph $G$, denoted by $\iota(G,\mathcal{F})$, is the size of a smallest subset $D$ of the vertex set $V(G)$ such that the closed neighbourhood of $D$ intersects the vertex sets of the $\mathcal{F}$-graphs contained by $G$ (equivalently, $G - N[D]$ contains no $\mathcal{F}$-graph). Thus, $\iota(G,\{K_1\})$ is the domination number of $G$. The second author showed that if $\mathcal{F}$ is the set of cycles and $G$ is a connected $n$-vertex graph that is not a triangle, then $\iota(G,\mathcal{F}) \leq \left \lfloor \frac{n}{4} \right \rfloor$. This bound is attainable for every $n$ and solved a problem of Caro and Hansberg. A question that arises immediately is how smaller an upper bound can be if $\mathcal{F} = \{C_k\}$ for some $k \geq 3$, where $C_k$ is a cycle of length $k$. The problem is to determine the smallest real number $c_k$ (if it exists) such that for some finite set $\mathcal{E}_k$ of graphs, $\iota(G, \{C_k\}) \leq c_k |V(G)|$ for every connected graph $G$ that is not an $\mathcal{E}_k$-graph. The above-mentioned result yields $c_3 = \frac{1}{4}$ and $\mathcal{E}_3 = \{C_3\}$. The second author also showed that if $k \geq 5$ and $c_k$ exists, then $c_k \geq \frac{2}{2k + 1}$. We prove that $c_4 = \frac{1}{5}$ and determine $\mathcal{E}_4$, which consists of three $4$-vertex graphs and six $9$-vertex graphs. The $9$-vertex graphs in $\mathcal{E}_4$ were fully determined by means of a computer program. A method that has the potential of yielding similar results is introduced.","Fri, 13 Oct 2023 14:16:58 UTC (19 KB)"
"45","ScaleLat: A chemical structure matching algorithm for mapping atomic structure of multi-phase system and high entropy alloys","Nan Li, Junming Guo, Sateng Li, Haoliang Liu, Qianwu Li, Fangjie Shi, Yefei Li, Bing Xiao","Materials Science (cond-mat.mtrl-sci)","ScaleLat (Scale Lattice) is a computer program written in C for performing the atomic structure analysis of multi-phase system or high entropy alloys (HEAs). The program implements an atomic cluster extraction algorithm to obtain all independent and symmetry-reduced characteristic chemical structures for the complex atomic configurations which are usually obtained from molecular dynamics or kinetic Monte-Carlo simulations for supercell containing more than 104 atoms. ScaleLat employes an efficient and unique chemical structure matching algorithm to map all extracted atomic clusters from a large supercell (>10^4 atoms) to a representative small one (~ 10^3 or less), providing the possibility to directly use the highly accurate quantum mechanical methods to study the electronic, magnetic, and mechanical properties of multi-component alloys with complex microstructures. We demonstrate the capability of ScaleLat code by conducting both the atomic structure analysis and chemical structure matching procedure for Fe-12.8 at.% Cr binary alloy and equiatomic CrFeCoNiCu high entropy alloy, and by successfully obtaining the representatively supercells containing 10^2~10^3 atoms of the two alloys. Overall, ScaleLat program provides a universal platform to efficiently project all essential chemical structures of large complex atomic structures to a relatively easy-handling small supercell for quantum mechanical calculations of various user interested properties.","Sat, 7 Oct 2023 09:19:35 UTC (1,045 KB)"
"46","FEcMD: A multi-physics and multi-scale computational program for electron emission characteristics dynamically coupled with atomic structure in metal nano-emitters","Nan Li, Xinyu Gao, Xianghui Feng, Kai Wu, Yonghong Cheng, Bing Xiao","Computational Physics (physics.comp-ph)","Field emission coupled with molecular dynamics simulation (FEcMD) software package is a computational tool for studying the electron emission characteristics and the atomic structure evolution of micro- and nano-protrusions made of pure metals or multi-component alloys by means of multi-physics and multi-scale methodology. The implementations of molecular dynamics, the electrodynamics, and the heat conduction in FEcMD program are addressed. For molecular dynamics simulation, the Lennard-Jones potentials, embedded atomic method (EAM), and moment tensor potentials (MTP) are fully supported for both alloys and pure metals. In the electrodynamics, the FEcMD program incorporates the space charge fields (space charge potential and exchange-correlation effects) in the Wentzel-Kramers-Brillouin-Jeffreys (WKBJ) approximation to evaluate the field emission current density more reliably for nano-gaps between two metal electrodes. Additionally, the advanced two-temperature heat conduction model is implemented in FEcMD program, and which provides more reliable descriptions for the temperature evolutions of electron and phonon subsystems under the radiofrequency (RF) or pulse electric fields. Comprehensive benchmark tests are performed for each module in FEcMD software to validate the numerical results, and also to access the accuracy and efficiency of the implemented algorithms. Finally, some typical applications of FEcMD program are also demonstrated for understanding the evolution of temperature and electric field coupled with the dynamic changing of atomic structures for metal micro- and nano-protrusions.","Sat, 7 Oct 2023 09:12:12 UTC (3,183 KB)"
"47","Trustworthy Formal Natural Language Specifications","Colin S. Gordon, Sergey Matskevich","Programming Languages (cs.PL)","Interactive proof assistants are computer programs carefully constructed to check a human-designed proof of a mathematical claim with high confidence in the implementation. However, this only validates truth of a formal claim, which may have been mistranslated from a claim made in natural language. This is especially problematic when using proof assistants to formally verify the correctness of software with respect to a natural language specification. The translation from informal to formal remains a challenging, time-consuming process that is difficult to audit for correctness.
This paper shows that it is possible to build support for specifications written in expressive subsets of natural language, within existing proof assistants, consistent with the principles used to establish trust and auditability in proof assistants themselves. We implement a means to provide specifications in a modularly extensible formal subset of English, and have them automatically translated into formal claims, entirely within the Lean proof assistant. Our approach is extensible (placing no permanent restrictions on grammatical structure), modular (allowing information about new words to be distributed alongside libraries), and produces proof certificates explaining how each word was interpreted and how the sentence's structure was used to compute the meaning.
We apply our prototype to the translation of various English descriptions of formal specifications from a popular textbook into Lean formalizations; all can be translated correctly with a modest lexicon with only minor modifications related to lexicon size.","Thu, 5 Oct 2023 20:41:47 UTC (102 KB)"
"48","Divide, Conquer and Verify: Improving Symbolic Execution Performance","Christopher Scherb, Luc Bryan Heitz, Hermann Grieder, Olivier Mattmann","Cryptography and Security (cs.CR)","Symbolic Execution is a formal method that can be used to verify the behavior of computer programs and detect software vulnerabilities. Compared to other testing methods such as fuzzing, Symbolic Execution has the advantage of providing formal guarantees about the program. However, despite advances in performance in recent years, Symbolic Execution is too slow to be applied to real-world software. This is primarily caused by the \emph{path explosion problem} as well as by the computational complexity of SMT solving. In this paper, we present a divide-and-conquer approach for symbolic execution by executing individual slices and later combining the side effects. This way, the overall problem size is kept small, reducing the impact of computational complexity on large problems.","Thu, 5 Oct 2023 15:21:10 UTC (454 KB)[v2] Tue, 7 Nov 2023 09:51:41 UTC (453 KB)"
"49","Applications of Improvements to the Pythagorean Won-Loss Expectation in Optimizing Rosters","Alexander F. Almeida, Kevin Dayaratna, Steven J. Miller, Andrew K. Yang","Applications (stat.AP)","Bill James' Pythagorean formula has for decades done an excellent job estimating a baseball team's winning percentage from very little data: if the average runs scored and allowed are denoted respectively by ${\rm RS}$ and ${\rm RA}$, there is some $\gamma$ such that the winning percentage is approximately ${\rm RS}^\gamma / ({\rm RS}^\gamma + {\rm RA}^\gamma)$. One important consequence is to determine the value of different players to the team, as it allows us to estimate how many more wins we would have given a fixed increase in run production. We summarize earlier work on the subject, and extend the earlier theoretical model of Miller (who estimated the run distributions as arising from independent Weibull distributions with the same shape parameter; this has been observed to describe the observed run data well). We now model runs scored and allowed as being drawn from independent Weibull distributions where the shape parameter is not necessarily the same, and then use the Method of Moments to solve a system of four equations in four unknowns. Doing so yields a predicted winning percentage that is consistently better than earlier models over the last 30 MLB seasons (1994 to 2023). This comes at a small cost as we no longer have a closed form expression but must evaluate a two-dimensional integral of two Weibull distributions and numerically estimate the solutions to the system of equations; as these are trivial to do with simple computational programs it is well worth adopting this framework and avoiding the issues of implementing the Method of Least Squares or the Method of Maximum Likelihood.","Mon, 2 Oct 2023 13:24:37 UTC (1,510 KB)[v2] Thu, 1 Feb 2024 00:35:30 UTC (1,522 KB)[v3] Tue, 20 Feb 2024 20:37:14 UTC (1,522 KB)"
"50","Open Hardware Solutions in Quantum Technology","Nathan Shammah, Anurag Saha Roy, Carmen G. Almudever, Sébastien Bourdeauducq, Anastasiia Butko, Gustavo Cancelo, Susan M. Clark, Johannes Heinsoo, Loïc Henriet, Gang Huang, Christophe Jurczak, Janne Kotilahti, Alessandro Landra, Ryan LaRose, Andrea Mari, Kasra Nowrouzi, Caspar Ockeloen-Korppi, Guen Prawiroatmodjo, Irfan Siddiqi, William J. Zeng","Applied Physics (physics.app-ph)","Quantum technologies such as communications, computing, and sensing offer vast opportunities for advanced research and development. While an open-source ethos currently exists within some quantum technologies, especially in quantum computer programming, we argue that there are additional advantages in developing open quantum hardware (OQH). Open quantum hardware encompasses open-source software for the control of quantum devices in labs, blueprints and open-source toolkits for chip design and other hardware components, as well as openly-accessible testbeds and facilities that allow cloud-access to a wider scientific community. We provide an overview of current projects in the OQH ecosystem, identify gaps, and make recommendations on how to close them today. More open quantum hardware would accelerate technology transfer to and growth of the quantum industry and increase accessibility in science.","Fri, 29 Sep 2023 13:32:38 UTC (9,045 KB)[v2] Fri, 1 Mar 2024 17:32:15 UTC (8,196 KB)"
"51","Framework and Model Analysis on Bengali Document Layout Analysis Dataset: BaDLAD","Kazi Reyazul Hasan (1), Mubasshira Musarrat (1), Sadif Ahmed (1), Shahriar Raj (1) ((1) Bangladesh University of Engineering and Technology)","Computer Vision and Pattern Recognition (cs.CV)","This study focuses on understanding Bengali Document Layouts using advanced computer programs: Detectron2, YOLOv8, and SAM. We looked at lots of different Bengali documents in our study. Detectron2 is great at finding and separating different parts of documents, like text boxes and paragraphs. YOLOv8 is good at figuring out different tables and pictures. We also tried SAM, which helps us understand tricky layouts. We tested these programs to see how well they work. By comparing their accuracy and speed, we learned which one is good for different types of documents. Our research helps make sense of complex layouts in Bengali documents and can be useful for other languages too.","Tue, 15 Aug 2023 07:52:24 UTC (1,337 KB)"
"52","From Text to Trends: A Unique Garden Analytics Perspective on the Future of Modern Agriculture","Parag Saxena","Artificial Intelligence (cs.AI)","Data-driven insights are essential for modern agriculture. This research paper introduces a machine learning framework designed to improve how we educate and reach out to people in the field of horticulture. The framework relies on data from the Horticulture Online Help Desk (HOHD), which is like a big collection of questions from people who love gardening and are part of the Extension Master Gardener Program (EMGP). This framework has two main parts. First, it uses special computer programs (machine learning models) to sort questions into categories. This helps us quickly send each question to the right expert, so we can answer it faster. Second, it looks at when questions are asked and uses that information to guess how many questions we might get in the future and what they will be about. This helps us plan on topics that will be really important. It's like knowing what questions will be popular in the coming months. We also take into account where the questions come from by looking at the Zip Code. This helps us make research that fits the challenges faced by gardeners in different places. In this paper, we demonstrate the potential of machine learning techniques to predict trends in horticulture by analyzing textual queries from homeowners. We show that NLP, classification, and time series analysis can be used to identify patterns in homeowners' queries and predict future trends in horticulture. Our results suggest that machine learning could be used to predict trends in other agricultural sectors as well. If large-scale agriculture industries curate and maintain a comparable repository of textual data, the potential for trend prediction and strategic agricultural planning could be revolutionized. This convergence of technology and agriculture offers a promising pathway for the future of sustainable farming and data-informed agricultural practices","Fri, 22 Sep 2023 02:15:12 UTC (271 KB)"
"53","Personalization, Cognition, and Gamification-based Programming Language Learning: A State-of-the-Art Systematic Literature Review","Kashif Ishaq, Atif Alvi","Computers and Society (cs.CY)","Programming courses in computing science are important because they are often the first introduction to computer programming for many students. Many university students are overwhelmed with the information they must learn for an introductory course. The current teacher-lecturer model of learning commonly employed in university lecture halls often results in a lack of motivation and participation in learning. Personalized gamification is a pedagogical approach that combines gamification and personalized learning to motivate and engage students while addressing individual differences in learning. This approach integrates gamification and personalized learning strategies to inspire and involve students while addressing their unique learning needs and differences. A comprehensive literature search was conducted by including 81 studies that were analyzed based on their research design, intervention, outcome measures, and quality assessment. The findings suggest that personalized gamification can enhance student cognition in programming courses by improving motivation, engagement, and learning outcomes. However, the effectiveness of personalized gamification varies depending on various factors, such as the type of gamification elements used, the degree of personalization, and the characteristics of the learners. This paper provides insights into designing and implementing effective personalized gamification interventions in programming courses. The findings could inform educational practitioners and researchers in programming education about the potential benefits of personalized gamification and its implications for educational practice.","Tue, 5 Sep 2023 05:14:23 UTC (1,807 KB)"
"54","Computation of 3D Band Structure and Density of States (DOS) of 14 Face Centered Cubic (FCC) Crystals using Pseudopotentials","Mirza Akbar Ali","Materials Science (cond-mat.mtrl-sci)","Electronic properties of materials are crucial to their ability to function in a wide range of applications, from electronics and energy production to structural materials and biomedicine. Computational methods are crucial in understanding these properties before developing the materials. Based on techniques from Cohen-Bergstresser and Monkhorst-Pack, we developed a computer program to calculate the electronic structure and density of the state of 14 fcc crystals.","Tue, 19 Sep 2023 09:18:18 UTC (520 KB)"
